date,date_gap,disp,flags,latitude,longitude,mask,size,vel_angle,iceberg_name,timestamp
2022336,0,0.0,6,-71.53,-60.51,0,0.0,0.0,a80c,1970-01-01T00:00:00Z
2023055,0,0.0,6,-72.19,-59.34,0,0.0,0.0,a80d,1970-01-01T00:00:00Z
2023027,0,0.0,6,-75.66,-27.16,0,0.0,0.0,a81,1970-01-01T00:00:00Z
1989225,0,0.0,3,-70.9,170.2,0,0.0,0.0,b09b,1970-01-01T00:00:00Z
2010339,0,0.0,3,-67.09,144.88,0,0.0,0.0,b09c,1970-01-01T00:00:00Z
2011114,0,0.0,3,-66.26,143.26,0,0.0,0.0,b09d,1970-01-01T00:00:00Z
2011226,0,0.0,3,-66.26,143.56,0,0.0,0.0,b09f,1970-01-01T00:00:00Z
2012127,0,0.0,14,-65.029,132.609,2,0.0,0.0,b09g,1970-01-01T00:00:00Z
2015132,0,0.0,5,-69.791,21.186,0,2219.67,0.0,b09h,1970-01-01T00:00:00Z
2015295,0,0.0,5,-66.503,142.103,0,0.0,0.0,b09i,1970-01-01T00:00:00Z
2019109,0,0.0,3,-57.167,-42.183,1,0.0,0.0,b09j,1970-01-01T00:00:00Z
2014250,0,0.0,5,-65.936,51.539,0,-24.82,0.0,b15aa,1970-01-01T00:00:00Z
2014249,0,0.0,5,-65.868,51.579,0,132.56,0.0,b15ab,1970-01-01T00:00:00Z
2019025,0,0.0,3,-54.15,-26.317,1,4132.74,0.0,b15ac,1970-01-01T00:00:00Z
2000125,0,0.0,17,-78.157,-169.888,1,3821.02,-0.0027,b15b,1970-01-01T00:00:00Z
2000345,0,0.0,3,-75.0,-179.4,1,1430.04,0.0153,b15f,1970-01-01T00:00:00Z
2001119,0,0.0,3,-71.0,170.9,0,1442.74,-0.0142,b15g,1970-01-01T00:00:00Z
2003289,0,0.0,49,-76.917,168.983,1,3709.15,0.0023,b15j,1970-01-01T00:00:00Z
2011329,0,0.0,4,-55.935,-158.711,2,24110.34,0.0401,b15j1,1970-01-01T00:00:00Z
2004004,0,0.0,3,-76.7,166.8,0,-102.48,0.0,b15k,1970-01-01T00:00:00Z
2005303,0,0.0,3,-71.95,171.9,0,2385.06,-0.0018,b15n,1970-01-01T00:00:00Z
2006176,0,0.0,3,-65.53,84.28,0,0.0,0.0,b15r,1970-01-01T00:00:00Z
2007357,0,0.0,3,-67.32,77.93,0,0.0,0.0,b15t,1970-01-01T00:00:00Z
2011268,0,0.0,3,-66.93,45.76,0,0.0,0.0,b15x,1970-01-01T00:00:00Z
2012365,0,0.0,3,-75.03,-60.13,0,6717.25,0.0,b15y,1970-01-01T00:00:00Z
2014251,0,0.0,5,-65.871,50.837,0,0.0,0.0,b15z,1970-01-01T00:00:00Z
2000072,0,0.0,3,-78.1,-177.2,0,-68.84,0.0,b16,1970-01-01T00:00:00Z
2000359,0,0.0,3,-73.9,-178.6,1,762.45,0.0045,b17a,1970-01-01T00:00:00Z
2002024,0,0.0,17,-74.7,-102.97,0,560.04,0.0,b21a,1970-01-01T00:00:00Z
2002081,0,0.0,17,-74.5,-107.5,0,47347.69,0.0001,b22a,1970-01-01T00:00:00Z
2008003,0,0.0,3,-74.9,-101.78,0,0.0,0.0,b27,1970-01-01T00:00:00Z
2010024,0,0.0,3,-74.85,-109.07,0,0.0,0.0,b28,1970-01-01T00:00:00Z
2010024,0,0.0,3,-74.7,-109.15,0,0.0,0.0,b29,1970-01-01T00:00:00Z
2012145,0,0.0,13,-74.769,-107.356,1,2377.6,0.0,b30,1970-01-01T00:00:00Z
2019166,0,0.0,4,-65.365,-131.792,1,12412.31,0.0,b30a,1970-01-01T00:00:00Z
2019166,0,0.0,4,-65.365,-131.792,1,13145.73,0.0,b30b,1970-01-01T00:00:00Z
2013187,0,0.0,13,-75.047,-101.701,1,-71.84,0.0,b31,1970-01-01T00:00:00Z
2018069,0,0.0,4,-66.352,-81.481,0,0.0,0.0,b31a,1970-01-01T00:00:00Z
2014239,0,0.0,5,-74.117,-128.312,0,-162.3,0.0,b32,1970-01-01T00:00:00Z
2015058,0,0.0,6,-75.018,-104.8,0,0.0,0.0,b33,1970-01-01T00:00:00Z
2015062,0,0.0,5,-74.207,-129.15,0,0.0,0.0,b34,1970-01-01T00:00:00Z
2015226,0,0.0,6,-74.589,-104.18,0,0.0,0.0,b35,1970-01-01T00:00:00Z
