TimeSeparation,X_i,Y_i,MedianZ_i,Density_i,Volume_i,X_f,Y_f,MedianZ_f,Density_f,Volume_f,VerticalAdjustment_i,VerticalAdjustment_f,ElevationChange_mean,ElevationChange_stdev,VolumeChangeRate,VolumeChangeRate_uncert,MedianDraft_mean,MedianDraft_range,SurfaceArea_mean,SurfaceArea_range,SubmergedArea_mean,SubmergedArea_uncert
636.889664351824,-1554200,-457740,44.876,897.12,202490000,-1561000,-461740,39.018,893.56,179000000,0.25449,-7.1347,4.493,1.3057,30306.1798893621,5107.26297385081,320.35,49.214,547130,27446,1683300,62348
636.889664351824,-1555400,-458310,38.575,893.25,178860000,-1562900,-462190,33.387,888.62,157250000,0.1317,-6.6472,1.312,1.7307,9692.80183886644,2004.90064246702,270.23,43.632,619510,19934,1516500,52484
636.889664351824,-1554700,-458970,39.875,894.15,198250000,-1562200,-462900,35.043,890.28,173300000,-0.35148,-7.0269,1.7975,1.9161,14765.4284189975,3055.10913863729,282.64,40.6,682280,1584,1634700,76012
636.889664351824,-1554500,-460220,31.516,886.64,63307000,-1562000,-464220,27.886,882,53434000,-0.07927,-7.6367,3.5092,1.447,10525.1120235493,3903.0610500457,217.76,30.124,263790,1406,746060,37848
636.889664351824,-1553500,-459480,39.271,893.79,163130000,-1561000,-463560,34.434,889.68,141500000,-0.07927,-7.6367,4.4518,1.4822,29907.6209957483,8891.01728175526,277.57,40.724,559950,6032,1411100,63920
