TimeSeparation,X_i,Y_i,MedianZ_i,Density_i,Volume_i,X_f,Y_f,MedianZ_f,Density_f,Volume_f,VerticalAdjustment_i,VerticalAdjustment_f,ElevationChange_mean,ElevationChange_stdev,VolumeChangeRate,VolumeChangeRate_uncert,MedianDraft_mean,MedianDraft_range,SurfaceArea_mean,SurfaceArea_range,SubmergedArea_mean,SubmergedArea_uncert
54.1115162036149,-2465100,1307800,8.1542,870.01,895840,-2465100,1307800,8.3887,869.53,822950,-9.5623,-6.0212,0.41436,1.1635,757.247790393703,280.914995911602,57.817,-1.55552,15058,17.5,44718,462.18
54.1115162036149,-2465800,1308500,6.2403,875.67,572720,-2465900,1308500,6.3349,875.67,557020,-8.8854,-5.1295,0.17279,1.4831,278.741036757734,425.63022783862,44.761,-0.67332,12790,266.5,33237,293.1
54.1115162036149,-2466100,1307700,8.2117,870.01,286190,-2466200,1307800,7.623,871.48,244090,-9.8621,-5.6954,0.43199,1.0975,260.253519673029,113.478848344747,55.502,3.879,4933,42,21523,691.76
54.1115162036149,-2466500,1307000,6.5729,874.59,184570,-2466500,1307000,5.7802,877.35,146400,-9.4567,-5.3056,0.88112,1.3379,413.465724801113,138.259890829708,44.001,5.2596,3713,597,14471,1740.9
